COMPANY NAME,UPL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,466.45,,,,,,,,,
Market Capitalization,34990.13,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,10770.88,12090.52,14048,16312,17378,21837,35756,38694,46240,53576
Raw Material Cost,5440.8,6016.41,6964,8178,8112,10904,18743,19096,22072,27281
Change in Inventory,,,184,362,,,,,,
Power and Fuel,433.67,435.59,359,339,291,402,464,581,890,1150
Other Mfr. Exp,455.53,698.4,1323,1556,1824,2108,2717,3486,4567,3838
Employee Cost,948.18,1042.8,1434,1627,1713,2095,3391,3712,4622,5056
Selling and admin,1298.61,1469.38,1228,1426,1558,1802,2593,2433,3150,4014
Other Expenses,175.82,65.31,576,582,468,713,1076,1034,1410,2041
Other Income,30.5,-10.7,149,363,351,-197,-515,62,91,464
Depreciation,406.94,424.52,676,672,675,880,2012,2173,2359,2547
Interest,485.29,517.04,704,735,783,963,1481,2060,2295,2963
Profit before tax,1156.54,1410.37,1117,1922,2305,1773,2764,4181,4966,5150
Tax,221.69,244.01,165,189,275,198,586,686,529,736
Net profit,949.79,1144.03,940,1727,2022,1491,1776,2871,3626,3570
Dividend Amount,171.44,214.3,215,353.5,408,408,459,765,765,750
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,10567,11297,15861,10821,12507,13679,16569,8963,10170,9887
Expenses,8636,8853,12481,8675,10090,10795,13847,7747,9049,9820
Other Income,17,31,62,25,35,129,302,58,18,134
Depreciation,566,600,642,588,608,624,727,636,657,676
Interest,359,529,800,519,644,894,906,700,871,1191
Profit before tax,1023,1346,2000,1064,1200,1495,1391,-62,-389,-1666
Tax,249,167,265,59,231,135,311,-164,-96,-59
Net profit,634,936,1379,877,814,1087,792,166,-189,-1217
Operating Profit,1931,2444,3380,2146,2417,2884,2722,1216,1121,67
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,85.72,85.72,86,101,102,102,153,153,153,150
Reserves,5161.7,5774.61,5803,7214,9067,14613,19129,20734,24508,29694
Borrowings,3349.49,3280.59,5258,6361,6638,29139,29388,24519,26746,23985
Other Liabilities,4162.14,5143,5722,6536,7148,18581,19758,23359,29196,32286
Total,12759.05,14283.92,16869,20212,22955,62435,68428,68765,80603,86115
Net Block,3820.93,4030.8,3862,4071,4437,32149,35321,34765,36193,38713
Capital Work in Progress,227.77,583.1,484,792,1319,1855,2073,2117,2501,2818
Investments,737.28,763.63,335,378,1034,708,558,618,1922,1624
Other Assets,7973.07,8906.39,12188,14971,16165,27723,30476,31265,39987,42960
Total,12759.05,14283.92,16869,20212,22955,62435,68428,68765,80603,86115
Receivables,3208.46,3793.04,5100,5656,6056,11679,11867,12145,15328,18224
Inventory,2480.07,2937.6,3787,4156,4538,9133,7850,9422,13078,13985
Cash & Bank,1022.78,1009.81,1189,2895,2894,2851,6752,4853,6120,6097
No. of Equity Shares,428604274,428604274,428604274,507017118,509333081,509333081,764045456,764045456,764045456,750607641
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1440.8,1409.02,1396,2585,2839,2356,8739,7212,6496,7751
Cash from Investing Activity,-427.46,-462.6,-1734,-1022,-2059,-31282,-2666,-2426,-3575,-1354
Cash from Financing Activity,-1680,-991.32,469,140,-801,28893,-2175,-6713,-1921,-6227
Net Cash Flow,-666.66,-44.9,131,1703,-21,-33,3898,-1927,1000,170
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,122.97,294.77,318.47,484.6,486.83,639.23,326.5,641.85,769.6,717.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,64.29,64.29,64.29,76.05,76.26,76.4,76.4,76.4,76.4,75.06
